Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,0402,1,10uF,C52923
"C10, C11, C2",0402,3,1uF,C52923
"C3, C6, C8",0402,3,4.7uF,
"C4, C5, C7, C9",0402,4,100nF,
D1,D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,1,~,
D2,SOT-143,1,PRTR5V0U2X,
F1,1206,1,ASMD1206-050,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Socket,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J4,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,JST SH 4-pin,
J5,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,JST SH 2-pin,
Q1,SOT-23,1,2N7002,
Q2,TO-220-3_Vertical_BCE,1,~,
"R1, R2",0402,2,5.1K,
R3,0402,1,10K,
R4,0402,1,100K,
R5,0402,1,33K,
"R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,2,~,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,TS-1187A-B-A-B,
U1,SOT-23,1,XC6206P332MR,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
